matrix_size,schedule,chunk size,timing
128,static,2,0.019354
128,static,4,0.019726
128,static,8,0.018323
128,static,16,0.017857
128,static,32,0.018945
256,static,2,0.036905
256,static,4,0.044561
256,static,8,0.036277
256,static,16,0.036055
256,static,32,0.037479
256,static,64,0.036048
512,static,2,0.197689
512,static,4,0.202676
512,static,8,0.198272
512,static,16,0.169869
512,static,32,0.205134
512,static,64,0.217311
512,static,128,0.2227
768,static,2,0.653834
768,static,3,0.806186
768,static,4,0.67386
768,static,6,0.857812
768,static,8,0.639648
768,static,12,0.883055
768,static,16,0.717231
768,static,24,0.939719
768,static,32,0.850551
768,static,48,0.735396
768,static,64,0.742073
768,static,96,1.045144
768,static,128,1.070755
768,static,192,0.64552
768,static,256,0.928243
1024,static,2,3.801633
1024,static,4,3.958477
1024,static,8,3.773048
1024,static,16,3.735313
1024,static,32,4.553256
1024,static,64,3.660362
1024,static,128,3.693875
1024,static,256,4.192379
1280,static,2,8.137887
1280,static,4,7.678854
1280,static,5,8.147463
1280,static,8,8.01013
1280,static,10,8.283072
1280,static,16,7.665756
1280,static,20,8.542531
1280,static,32,8.419167
1280,static,40,8.554303
1280,static,64,8.374318
1280,static,80,9.143376
1280,static,128,9.645941
1280,static,160,8.700629
1280,static,256,9.159765
1280,static,320,8.083616
1536,static,2,15.271848
1536,static,3,15.699084
1536,static,4,16.944858
1536,static,6,15.822514
1536,static,8,15.219348
1536,static,12,14.763861
1536,static,16,15.914596
1536,static,24,15.39854
1536,static,32,14.768373
1536,static,48,15.023318
1536,static,64,14.542053
1536,static,96,16.415622
1536,static,128,15.168558
1536,static,192,16.0738
1536,static,256,14.255738
1536,static,384,15.96127
1536,static,512,15.092669
1792,static,2,28.329591
1792,static,4,27.21852
1792,static,7,27.352938
1792,static,8,25.923004
1792,static,14,26.555196
1792,static,16,26.038503
1792,static,28,26.048074
1792,static,32,28.788766
1792,static,56,29.837921
1792,static,64,26.765883
1792,static,112,30.585827
1792,static,128,28.550812
1792,static,224,28.871121
1792,static,256,26.456654
1792,static,448,29.337899
2048,static,2,44.869014
2048,static,4,44.634824
2048,static,8,41.396349
2048,static,16,47.367786
2048,static,32,45.575052
2048,static,64,49.53626
2048,static,128,47.11274
2048,static,256,45.876026
2048,static,512,46.193746
128,dynamic,2,0.023181
128,dynamic,4,0.02325
128,dynamic,8,0.022289
128,dynamic,16,0.022658
128,dynamic,32,0.024076
256,dynamic,2,0.05231
256,dynamic,4,0.053845
256,dynamic,8,0.051782
256,dynamic,16,0.054239
256,dynamic,32,0.055564
256,dynamic,64,0.065758
512,dynamic,2,0.214986
512,dynamic,4,0.241407
512,dynamic,8,0.251339
512,dynamic,16,0.253062
512,dynamic,32,0.234803
512,dynamic,64,0.323555
512,dynamic,128,0.395849
768,dynamic,2,0.715434
768,dynamic,3,0.697145
768,dynamic,4,0.920192
768,dynamic,6,0.821927
768,dynamic,8,0.872255
768,dynamic,12,1.015963
768,dynamic,16,0.916962
768,dynamic,24,0.970475
768,dynamic,32,0.794335
768,dynamic,48,1.024453
768,dynamic,64,1.001504
768,dynamic,96,1.174405
768,dynamic,128,1.065211
768,dynamic,192,1.178751
768,dynamic,256,1.622364
1024,dynamic,2,3.865617
1024,dynamic,4,3.834977
1024,dynamic,8,4.140395
1024,dynamic,16,3.875093
1024,dynamic,32,3.893514
1024,dynamic,64,4.305784
1024,dynamic,128,5.460502
1024,dynamic,256,7.507997
1280,dynamic,2,7.378175
1280,dynamic,4,8.053601
1280,dynamic,5,8.498357
1280,dynamic,8,8.309756
1280,dynamic,10,8.190417
1280,dynamic,16,8.298283
1280,dynamic,20,8.107155
1280,dynamic,32,7.675605
1280,dynamic,40,7.685373
1280,dynamic,64,8.033756
1280,dynamic,80,10.371461
1280,dynamic,128,13.31822
1280,dynamic,160,14.671
1280,dynamic,256,16.611026
1280,dynamic,320,19.946911
1536,dynamic,2,16.857304
1536,dynamic,3,19.726028
1536,dynamic,4,17.489331
1536,dynamic,6,18.849321
1536,dynamic,8,18.45632
1536,dynamic,12,17.731859
1536,dynamic,16,18.406368
1536,dynamic,24,18.65367
1536,dynamic,32,19.690492
1536,dynamic,48,19.61781
1536,dynamic,64,14.626963
1536,dynamic,96,14.636048
1536,dynamic,128,19.069448
1536,dynamic,192,36.597854
1536,dynamic,256,50.065796
1536,dynamic,384,44.209133
1536,dynamic,512,35.196186
1792,dynamic,2,26.654056
1792,dynamic,4,21.682705
1792,dynamic,7,24.194578
1792,dynamic,8,26.091041
1792,dynamic,14,24.882571
1792,dynamic,16,25.672695
1792,dynamic,28,25.138415
1792,dynamic,32,26.576327
1792,dynamic,56,27.469343
1792,dynamic,64,27.344057
1792,dynamic,112,26.163114
1792,dynamic,128,27.302132
1792,dynamic,224,32.636572
1792,dynamic,256,33.405194
1792,dynamic,448,50.738934
2048,dynamic,2,37.864137
2048,dynamic,4,41.824998
2048,dynamic,8,44.810246
2048,dynamic,16,53.446567
2048,dynamic,32,42.714066
2048,dynamic,64,44.126901
2048,dynamic,128,44.098373
2048,dynamic,256,57.887055
2048,dynamic,512,74.683294
128,guided,2,0.019024
128,guided,4,0.020568
128,guided,8,0.019301
128,guided,16,0.020062
128,guided,32,0.019772
256,guided,2,0.050107
256,guided,4,0.043434
256,guided,8,0.044894
256,guided,16,0.044976
256,guided,32,0.056054
256,guided,64,0.066754
512,guided,2,0.229986
512,guided,4,0.227747
512,guided,8,0.2254
512,guided,16,0.237681
512,guided,32,0.20962
512,guided,64,0.244251
512,guided,128,0.358599
768,guided,2,0.657356
768,guided,3,0.872572
768,guided,4,0.749329
768,guided,6,0.691701
768,guided,8,0.681644
768,guided,12,0.808166
768,guided,16,0.957703
768,guided,24,0.940302
768,guided,32,0.932595
768,guided,48,0.813843
768,guided,64,0.683639
768,guided,96,0.956339
768,guided,128,1.035775
768,guided,192,1.285957
768,guided,256,1.541776
1024,guided,2,3.795918
1024,guided,4,3.668877
1024,guided,8,3.686495
1024,guided,16,3.961902
1024,guided,32,4.12534
1024,guided,64,3.926215
1024,guided,128,5.180243
1024,guided,256,7.662812
1280,guided,2,8.123825
1280,guided,4,8.342709
1280,guided,5,8.116453
1280,guided,8,8.314113
1280,guided,10,8.218368
1280,guided,16,8.434493
1280,guided,20,8.398897
1280,guided,32,8.393088
1280,guided,40,8.17565
1280,guided,64,9.41176
1280,guided,80,10.426792
1280,guided,128,9.427789
1280,guided,160,10.665022
1280,guided,256,14.576542
1280,guided,320,14.400626
1536,guided,2,14.818655
1536,guided,3,15.451369
1536,guided,4,16.60281
1536,guided,6,15.514177
1536,guided,8,15.976065
1536,guided,12,14.91136
1536,guided,16,15.541732
1536,guided,24,16.600546
1536,guided,32,15.778709
1536,guided,48,16.509541
1536,guided,64,15.731669
1536,guided,96,16.819202
1536,guided,128,18.032541
1536,guided,192,19.176782
1536,guided,256,23.020529
1536,guided,384,26.755244
1536,guided,512,34.022842
1792,guided,2,26.163252
1792,guided,4,26.578909
1792,guided,7,26.021706
1792,guided,8,27.38676
1792,guided,14,27.089624
1792,guided,16,26.477358
1792,guided,28,26.74112
1792,guided,32,24.024544
1792,guided,56,26.089714
1792,guided,64,26.778369
1792,guided,112,27.938308
1792,guided,128,30.998449
1792,guided,224,39.446104
1792,guided,256,41.301816
1792,guided,448,55.308702
2048,guided,2,42.897673
2048,guided,4,40.147863
2048,guided,8,42.659667
2048,guided,16,42.4043
2048,guided,32,43.20895
2048,guided,64,41.282658
2048,guided,128,42.201588
2048,guided,256,54.907581
2048,guided,512,70.753524
